nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,montant_pret
Turpin,Alex,54,165.5,54.2,H,oui,aucun,Occitanie,non,oui,2779,7091.978445509684
Roger,Lucie,67,173.3,56.3,H,oui,bac+2,Auvergne-Rhône-Alpes,non,non,1638,500.0
Lebreton,Augustin,59,168.3,52.4,F,oui,master,Normandie,non,oui,1139,18957.683251579412
Aubert,Charles,69,169.7,59.0,H,oui,doctorat,Bretagne,non,oui,2919,40000.0
Verdier,Noémi,46,164.3,68.0,H,non,bac+2,Normandie,non,oui,3141,24114.974280271505
Lefort,Pauline,39,161.1,69.9,H,oui,master,Occitanie,oui,oui,1627,19830.923958758853
Guillot,Rémy,44,158.2,70.6,H,oui,doctorat,Occitanie,non,oui,2251,22190.60494742735
Bigot,Margaux,67,159.9,72.5,H,oui,master,Hauts-de-France,oui,oui,1262,14653.265640239626
Guibert,Suzanne,50,160.2,76.5,H,oui,doctorat,Occitanie,non,oui,2362,36975.56693030123
Martel,Danielle,46,167.3,52.6,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2677,18487.72188539173
Allain,Pauline,59,162.8,71.4,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,3906,23472.889369272572
Blanchard,Yves,52,160.7,61.3,H,oui,master,Occitanie,non,non,4297,7304.130454064697
Martineau,Charles,61,157.1,71.6,H,oui,master,Bretagne,oui,non,4742,633.8861523296669
Payet,Gérard,72,160.0,59.7,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,2541,26588.957802464545
Gaudin,Emmanuel,65,161.7,50.8,H,oui,master,Normandie,non,oui,3807,32713.42424292603
Lemoine,Guy,55,172.9,65.5,H,non,doctorat,Normandie,non,non,1814,500.0
Olivier,Adrienne,56,164.1,50.9,H,oui,doctorat,Occitanie,non,oui,2480,40000.0
Durand,Patricia,51,161.8,77.7,H,oui,aucun,Hauts-de-France,oui,oui,3319,2432.1403028104532
Merle,Maryse,53,155.5,67.4,F,oui,master,Hauts-de-France,non,oui,726,19372.765779329802
Jacques,Alexandre,49,163.6,69.6,H,non,doctorat,Occitanie,non,oui,2809,19890.504876533876
Richard,Margot,55,169.5,50.0,H,non,bac+2,Occitanie,non,non,1572,500.0
Dupré,Virginie,49,155.8,53.7,H,oui,doctorat,Occitanie,non,non,1455,5304.489380171573
Weber,Isabelle,47,174.7,59.5,H,oui,bac+2,Normandie,non,oui,3369,21435.230256961648
Pottier,Dorothée,53,160.1,50.6,H,oui,bac,Normandie,non,oui,3038,17540.996575976278
Guillet,Zacharie,60,159.5,51.7,H,oui,doctorat,Occitanie,non,non,2309,7146.245468782306
Hebert,Timothée,38,159.6,65.5,H,non,doctorat,Bretagne,non,oui,1398,24422.460072775528
Parent,Étienne,53,160.1,78.2,H,oui,doctorat,Île-de-France,non,oui,2672,40000.0
Chevalier,Josette,38,162.1,61.4,F,non,master,Auvergne-Rhône-Alpes,non,oui,3545,25071.13142715755
Dos Santos,Lucas,39,163.2,71.8,H,oui,master,Normandie,non,oui,3863,35349.55281470652
Bodin,Gabrielle,59,173.9,60.1,H,oui,bac+2,Occitanie,non,oui,2315,25958.273871725352
Lemaître,Christine,59,166.2,52.9,H,oui,bac+2,Normandie,non,oui,2042,23731.131886685558
Albert,Paul,70,159.1,76.3,H,non,bac,Occitanie,non,oui,915,4745.5650806256735
Gros,Margaux,65,158.2,63.7,H,oui,doctorat,Occitanie,non,oui,4409,40000.0
Prévost,Sylvie,45,162.7,76.1,H,oui,doctorat,Bretagne,oui,oui,3552,32542.080297591383
Valentin,Simone,49,166.4,63.2,F,oui,doctorat,Normandie,non,non,2426,7988.019744567365
Lagarde,Gilbert,69,171.4,68.4,H,oui,doctorat,Bretagne,non,oui,1601,39535.19094218192
Klein,Louis,57,171.6,64.8,H,oui,doctorat,Normandie,non,non,3799,11494.007621557945
Guillou,Raymond,61,170.8,58.9,H,oui,master,Occitanie,non,oui,1208,27671.21847334056
Martinez,Alexandre,65,164.9,62.6,H,oui,doctorat,Occitanie,non,non,783,1159.0766848016615
Aubry,Aurélie,42,157.7,55.9,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,1928,26881.35274717622
Gomes,Nathalie,49,156.1,55.9,H,oui,doctorat,Bretagne,oui,oui,1837,22480.383092229014
Bousquet,Caroline,47,162.2,50.3,F,oui,bac,Occitanie,non,oui,1183,7823.7743054688335
Fontaine,Adèle,61,171.8,51.0,H,oui,bac+2,Occitanie,non,oui,5250,40000.0
Laurent,Roland,66,168.1,61.6,H,oui,doctorat,Normandie,non,oui,4740,40000.0
Morin,Nicole,52,167.9,51.3,H,non,master,Occitanie,non,oui,2424,21872.41254276159
Rousseau,Margaux,75,166.0,76.6,F,non,doctorat,Occitanie,non,oui,1708,11095.911103710205
Pires,Arnaude,41,157.1,74.7,H,oui,bac,Occitanie,non,oui,1928,15165.780461836352
Denis,Céline,65,161.3,62.0,H,oui,master,Normandie,non,oui,934,20029.425481276357
Bazin,Frédérique,64,158.0,65.1,H,oui,aucun,Occitanie,oui,non,2181,500.0
Alexandre,Hugues,68,164.8,75.5,H,oui,master,Occitanie,non,oui,4144,35684.32705851782
Martineau,Michelle,39,169.1,64.7,H,oui,master,Occitanie,oui,oui,3124,19350.088548861728
Dubois,Monique,38,166.5,56.6,H,oui,bac+2,Bretagne,oui,non,2106,500.0
Hoarau,Rémy,67,160.4,74.1,H,oui,doctorat,Normandie,non,oui,2849,34503.515049094676
Jacquet,William,55,162.9,64.8,H,oui,doctorat,Normandie,non,oui,2063,25973.22821088678
Laurent,Stéphanie,43,172.6,62.4,H,oui,doctorat,Normandie,non,oui,1742,27474.491087584054
Legrand,Charles,59,155.0,57.3,H,oui,doctorat,Normandie,non,oui,2563,33138.87141380417
Carlier,Zoé,62,168.6,53.6,H,oui,master,Auvergne-Rhône-Alpes,non,oui,2240,36381.49715578363
Marques,Marianne,58,168.0,71.4,H,oui,bac+2,Hauts-de-France,non,oui,1372,16771.595863978702
Roche,Benoît,41,158.6,52.4,H,oui,master,Auvergne-Rhône-Alpes,non,oui,1774,25286.32410041286
Lefèvre,Mathilde,40,171.4,73.1,F,oui,master,Bretagne,oui,oui,3097,21883.023796219266
Pasquier,Marthe,55,166.9,60.1,H,oui,aucun,Corse,oui,oui,1816,801.7444466088019
Perret,Laurent,53,165.2,67.6,H,oui,doctorat,Occitanie,oui,non,2070,1863.5323629450907
Wagner,Thibault,49,162.2,64.3,H,oui,master,Occitanie,oui,oui,4167,28405.632652178105
Turpin,Margot,70,173.0,54.9,F,oui,doctorat,Occitanie,non,oui,885,26167.950877411608
Lefebvre,Virginie,66,162.6,54.2,H,non,master,Occitanie,non,oui,4199,35495.77020714315
Delahaye,Alex,59,173.6,58.4,F,non,master,Auvergne-Rhône-Alpes,non,oui,3427,28086.1339700883
Laine,André,61,174.0,51.9,H,oui,doctorat,Occitanie,non,oui,1779,33949.80190558829
Mendès,Valérie,44,172.9,65.9,H,non,master,Occitanie,non,non,2667,2511.211097950423
Benoit,Louise,51,168.4,74.9,H,oui,doctorat,Corse,non,oui,2065,17851.744518679698
Garcia,Joseph,41,157.6,64.1,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,3390,22548.673738298596
Fabre,Alain,57,167.0,50.9,H,oui,bac+2,Normandie,non,non,3592,2653.4932532191515
Albert,Patricia,60,174.7,69.1,H,non,master,Occitanie,non,oui,2279,20959.40354825269
Ribeiro,Joséphine,72,158.2,77.2,H,oui,doctorat,Occitanie,non,oui,1048,25472.449732433714
Ferreira,Nath,40,173.4,72.7,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,2568,30901.263349138546
Mary,Cécile,56,169.6,71.3,F,oui,bac+2,Normandie,non,non,1786,500.0
Thomas,Pauline,62,168.8,56.6,H,oui,doctorat,Occitanie,oui,oui,1760,18366.138719710983
Roy,Marine,54,163.8,73.5,H,oui,doctorat,Normandie,non,oui,2210,28915.222275611923
Clerc,Charles,69,170.8,75.2,H,oui,doctorat,Occitanie,non,oui,4260,32858.491074502694
Guillet,Alain,57,168.1,56.9,H,oui,master,Auvergne-Rhône-Alpes,non,oui,1385,34513.65503634652
Schneider,Claudine,72,157.3,58.2,H,oui,bac+2,Normandie,oui,oui,1139,500.0
Legendre,Alexandria,71,159.2,63.7,F,oui,bac+2,Normandie,non,non,3650,500.0
Dos Santos,Timothée,71,156.9,77.7,H,oui,master,Normandie,oui,oui,3853,27451.898789025665
Rocher,Alfred,67,166.4,60.9,H,oui,master,Normandie,oui,oui,1527,16838.22671714366
Bouvier,Stéphane,39,168.9,51.2,H,oui,bac+2,Corse,non,oui,3528,13571.12651757627
Mallet,Brigitte,63,171.8,63.4,H,non,master,Occitanie,oui,oui,1012,8960.446046303185
Allard,Odette,53,168.5,73.2,H,oui,bac+2,Occitanie,non,oui,3229,28364.922393291108
Garcia,Joséphine,58,164.5,68.5,F,oui,master,Occitanie,non,oui,3648,40000.0
Vallet,Catherine,60,165.0,75.3,H,oui,doctorat,Occitanie,oui,oui,2372,25507.70208034152
Delorme,Nath,53,171.0,62.3,F,oui,bac+2,Occitanie,non,oui,1910,15933.790894657343
Bourdon,Anaïs,47,171.5,56.8,F,oui,aucun,Occitanie,non,oui,804,500.0
Bodin,Jérôme,60,165.5,74.2,H,oui,doctorat,Bretagne,non,oui,4081,40000.0
Costa,Tristan,60,159.9,53.3,F,oui,aucun,Occitanie,non,oui,870,500.0
Bourgeois,Alphonse,63,170.9,53.0,H,oui,bac+2,Occitanie,non,oui,3329,34171.49406955961
Bailly,Étienne,74,161.9,79.2,H,oui,bac,Bretagne,non,oui,1966,20453.849575082353
Benard,Chantal,61,174.6,58.0,H,oui,master,Auvergne-Rhône-Alpes,non,oui,1388,29878.235619873652
Leclerc,Emmanuel,74,169.2,50.9,F,non,doctorat,Hauts-de-France,non,oui,2363,24523.237999904435
Roussel,Margaud,37,172.4,54.2,H,oui,master,Occitanie,non,oui,2327,16515.679288962674
Schneider,Édouard,41,174.2,70.8,H,oui,bac+2,Bretagne,non,oui,2301,33098.36882350187
Courtois,Grégoire,50,171.0,61.9,F,oui,master,Occitanie,non,non,1096,500.0
Rousset,Josette,59,164.6,66.6,H,oui,doctorat,Normandie,oui,oui,1634,21211.241858202222
Roger,Théodore,52,167.6,57.7,H,non,master,Auvergne-Rhône-Alpes,non,non,500,500.0
Goncalves,Paulette,47,164.0,67.1,H,oui,master,Hauts-de-France,non,oui,2217,20092.37800775741
Lagarde,Henri,47,163.7,62.4,H,oui,master,Occitanie,oui,oui,3578,25756.22944906494
Rodrigues,Maggie,74,171.7,57.5,H,oui,bac+2,Bretagne,non,oui,3849,40000.0
Dubois,Alice,65,167.2,67.6,H,oui,bac+2,Occitanie,non,oui,2204,27832.566564074506
Barbier,William,56,161.3,54.3,F,oui,master,Hauts-de-France,oui,oui,500,8327.6146070927
Carlier,Anaïs,44,159.3,53.2,H,oui,doctorat,Normandie,non,oui,3842,36907.99364869291
Roy,Zacharie,53,174.0,71.9,H,oui,doctorat,Occitanie,non,oui,4029,37114.97887707186
Mace,Maryse,38,156.0,76.5,H,oui,aucun,Occitanie,non,oui,2293,9267.975242105034
Cousin,Hugues,61,166.7,79.3,H,oui,doctorat,Normandie,non,oui,3818,35330.63137651656
Poirier,Xavier,74,165.6,77.2,H,non,master,Bretagne,non,non,4969,500.0
Julien,Éléonore,67,171.3,79.6,H,oui,bac,Corse,non,non,773,500.0
Dupuis,Martine,62,162.8,51.4,H,oui,aucun,Bretagne,non,oui,3027,16806.234219700786
Roussel,Philippe,45,159.0,64.8,H,oui,doctorat,Normandie,oui,oui,4021,27707.209128025796
Richard,Renée,45,169.8,73.1,H,oui,master,Normandie,non,oui,500,20158.750548736458
Durand,Josette,49,174.5,69.9,H,oui,bac,Occitanie,non,non,2495,500.0
Marion,Alain,54,163.2,58.4,H,oui,doctorat,Corse,non,non,1416,500.0
Pineau,Victor,54,158.4,65.9,H,oui,master,Normandie,non,non,3471,3476.7845682862157
Renault,Jeannine,58,160.8,68.9,H,oui,master,Occitanie,oui,oui,2896,10767.206783672396
Giraud,Marianne,71,160.7,50.0,H,oui,bac+2,Normandie,non,oui,1523,15715.456957991031
Perrin,Marc,75,157.5,78.0,H,oui,bac+2,Bretagne,oui,oui,2061,10881.746811564972
Fontaine,Michèle,64,170.6,68.3,H,oui,master,Occitanie,non,oui,3105,33750.33374139302
Fontaine,Charlotte,68,174.4,61.2,H,non,doctorat,Normandie,non,oui,1974,27442.43698346847
Hubert,Roger,53,162.9,78.9,H,oui,bac+2,Bretagne,non,oui,2718,33064.8553352997
Joubert,Claude,38,165.8,58.6,H,non,bac+2,Occitanie,non,oui,2937,22032.7636806391
Morel,Nicolas,45,167.9,61.2,H,oui,doctorat,Bretagne,non,non,1683,8564.37132273756
Huet,Océane,38,174.0,50.7,H,oui,bac,Occitanie,non,non,3089,500.0
Dupuis,Colette,67,161.4,57.6,H,oui,doctorat,Normandie,non,oui,2225,27664.48623166467
Morin,Margot,66,165.7,74.7,F,oui,master,Auvergne-Rhône-Alpes,non,non,1839,500.0
Lemaire,Laetitia,56,169.2,61.5,H,oui,doctorat,Occitanie,non,oui,3111,40000.0
Petitjean,Joséphine,51,163.0,73.5,H,oui,master,Normandie,non,oui,1745,23606.444810350127
Nguyen,Alix,61,162.5,60.9,H,oui,doctorat,Normandie,non,non,500,500.0
Lecomte,Hortense,50,156.0,70.6,F,oui,doctorat,Normandie,non,oui,885,16907.543121448827
Toussaint,Claudine,62,171.3,74.1,H,oui,bac+2,Normandie,oui,oui,2162,6813.132717837237
Legendre,Nathalie,40,164.7,59.0,H,non,bac,Normandie,non,oui,839,3571.122425075634
Lebreton,Alphonse,37,159.7,71.9,H,oui,bac+2,Occitanie,non,non,3582,8665.339255353429
Duval,Luce,61,155.8,52.8,H,oui,doctorat,Bretagne,non,oui,1580,32080.052252022084
Dupuy,William,46,159.8,78.1,H,oui,doctorat,Occitanie,oui,oui,1946,10521.332426081754
Courtois,Céline,45,165.4,60.9,H,oui,bac,Occitanie,non,non,2172,500.0
Lecoq,Nathalie,39,161.7,56.2,H,oui,bac+2,Occitanie,non,oui,3664,27875.03049951402
Parent,Patricia,58,162.6,59.5,H,oui,bac+2,Occitanie,non,oui,1081,17199.39884532239
Lejeune,Joseph,41,166.5,52.0,F,oui,doctorat,Normandie,oui,oui,3695,19142.69416762149
Baron,Claudine,67,158.8,62.2,H,oui,master,Auvergne-Rhône-Alpes,non,non,2298,6779.195403629211
Guillaume,Geneviève,40,168.3,57.7,H,non,bac+2,Normandie,non,oui,3218,18202.705575745014
Tessier,Christelle,50,157.5,51.8,H,oui,doctorat,Occitanie,non,oui,1480,29795.848429366764
Fournier,Paul,58,158.5,72.8,F,oui,doctorat,Occitanie,non,oui,1920,28743.206807214832
Chevallier,Rémy,55,155.3,66.7,H,oui,master,Hauts-de-France,non,oui,2655,23470.835884260738
Fabre,Maggie,43,166.3,59.4,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,500,8567.071651496735
Hubert,Timothée,56,160.9,72.0,H,oui,master,Occitanie,oui,oui,2207,24728.616447927
Hardy,Thierry,71,157.0,76.9,H,oui,doctorat,Normandie,non,oui,2853,36708.77704857718
Carre,Marcelle,61,162.0,66.5,H,oui,aucun,Bretagne,non,oui,1436,17378.730304713998
Weiss,Frédérique,67,166.8,65.8,H,non,doctorat,Occitanie,non,oui,2100,31030.522926670346
Poulain,Jeannine,63,159.1,63.6,H,non,doctorat,Occitanie,non,oui,2982,31057.720903124
Lombard,Grégoire,46,156.9,66.4,F,oui,master,Occitanie,non,oui,4085,34981.94339568086
Renaud,Nicolas,51,169.1,73.8,H,oui,bac+2,Hauts-de-France,non,oui,1268,7175.2741896487
Reynaud,Alain,36,169.2,70.3,H,oui,doctorat,Normandie,non,oui,2957,35348.76935998014
Lejeune,Arnaude,68,155.5,62.4,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,3972,40000.0
Charles,Aimée,61,159.3,67.7,F,non,master,Occitanie,non,oui,1047,19076.420454499046
Morel,Inès,38,173.3,73.9,H,oui,master,Hauts-de-France,non,oui,3778,34750.2276590165
Chartier,François,57,160.0,79.4,H,oui,doctorat,Normandie,oui,non,2190,500.0
Guillaume,Richard,65,167.3,73.8,F,oui,bac+2,Normandie,non,oui,1032,13491.97079264603
Becker,Brigitte,55,167.2,70.9,F,non,doctorat,Normandie,non,oui,4209,27674.4066672462
Muller,Camille,36,161.8,53.2,H,oui,doctorat,Normandie,non,oui,2674,35467.65716576115
Girard,Arnaude,40,165.4,72.3,F,oui,doctorat,Normandie,non,oui,1655,19025.78765312674
Georges,Valentine,55,165.2,62.7,H,oui,master,Normandie,non,oui,2082,27628.082326191125
Marin,Suzanne,43,161.7,79.3,F,non,master,Occitanie,non,oui,2410,14999.243253558827
Blot,Madeleine,36,172.5,59.9,H,oui,master,Bretagne,non,oui,3843,39284.24882027801
Maury,François,52,163.8,50.5,H,oui,bac+2,Occitanie,oui,oui,2839,11734.074174389147
Toussaint,Virginie,59,156.5,65.3,H,non,bac+2,Corse,non,oui,3194,7350.684143017003
Alves,Adrien,45,167.4,69.3,F,non,aucun,Occitanie,non,oui,3052,9577.210101833514
Hamel,Henriette,53,155.6,74.9,F,oui,master,Occitanie,oui,oui,1677,5450.262208299197
Laroche,Noël,65,169.2,56.4,H,oui,master,Corse,non,oui,3484,19047.22799478976
Langlois,Théophile,47,155.8,56.0,H,oui,doctorat,Occitanie,non,non,1880,6262.093713922109
Jacquet,Alexandrie,41,163.4,65.3,F,oui,bac+2,Bretagne,non,oui,1272,13728.548124070225
Bouchet,Chantal,58,164.5,58.1,H,non,doctorat,Occitanie,non,non,2598,500.0
Dubois,Tristan,61,162.9,59.0,H,oui,master,Corse,non,oui,2056,18749.379856041476
Voisin,Simone,50,172.3,72.4,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,2480,16394.670715481476
Lecomte,Lucy,59,157.6,70.9,H,oui,master,Occitanie,oui,oui,3888,19512.18882543181
Blanc,Paulette,59,159.1,63.2,H,oui,doctorat,Corse,non,non,2370,9750.477914618215
Masson,Julien,42,169.9,68.6,H,oui,bac+2,Occitanie,oui,oui,3834,21633.375294845046
Fournier,Tristan,57,171.1,63.0,H,non,doctorat,Normandie,non,oui,2268,20339.183238650443
Lebon,Pierre,63,173.8,64.6,H,non,bac,Bretagne,non,non,4265,500.0
Gérard,Simone,52,164.3,73.6,F,non,bac+2,Occitanie,non,non,2762,500.0
Cousin,Juliette,59,158.6,64.0,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,4046,2656.072100451194
Aubert,Anne,41,174.4,72.6,F,non,master,Corse,non,oui,5071,17148.219852716345
Perrin,Renée,52,171.6,51.5,H,oui,bac+2,Corse,non,oui,1936,17626.488513864446
Pineau,Alexandrie,39,172.0,66.5,H,non,master,Occitanie,non,non,1769,500.0
Pinto,Gilbert,71,160.6,65.9,F,non,master,Corse,non,oui,1290,500.0
Arnaud,Gérard,61,156.0,54.8,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,2154,35935.35700868228
Gomez,Margot,39,159.7,63.6,H,oui,doctorat,Hauts-de-France,oui,non,2794,500.0
Faure,Léon,59,165.3,72.9,H,oui,bac+2,Auvergne-Rhône-Alpes,non,non,4217,3809.088561656789
Bouvier,Caroline,57,167.4,53.4,H,oui,master,Hauts-de-France,non,oui,2187,25045.099956315797
Voisin,Nicolas,49,158.1,63.1,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,4263,40000.0
Bertrand,Mathilde,62,166.6,61.6,H,oui,bac+2,Bretagne,non,oui,1753,23127.204528864175
Blanc,Odette,71,158.4,56.8,H,oui,master,Auvergne-Rhône-Alpes,non,non,500,3623.869003325054
Perrier,Yves,44,165.3,55.1,H,oui,doctorat,Occitanie,non,oui,4589,40000.0
Costa,Sylvie,43,168.3,75.6,H,oui,master,Occitanie,oui,oui,2428,13726.698363183687
Neveu,Alexandre,52,174.5,60.0,H,oui,doctorat,Auvergne-Rhône-Alpes,non,non,500,500.0
François,Mathilde,38,166.9,52.7,H,oui,aucun,Occitanie,oui,oui,1555,500.0
Sanchez,Suzanne,53,174.2,71.5,F,oui,doctorat,Hauts-de-France,non,non,2744,842.2684941353733
Bodin,Patrick,42,170.8,71.1,H,oui,bac+2,Normandie,non,oui,1028,13322.507557126295
Joly,Guy,62,172.2,78.7,H,oui,bac+2,Bretagne,non,non,5135,18243.21221399834
Joubert,Nicole,60,165.0,77.9,H,non,doctorat,Occitanie,non,oui,3807,33464.94920854278
Lambert,Alfred,63,164.1,56.3,H,oui,master,Hauts-de-France,oui,non,5338,3382.425549372147
Auger,Victoire,65,155.1,57.2,H,oui,bac+2,Bretagne,non,oui,500,13167.305855275143
Didier,Frédéric,36,164.0,79.4,H,oui,bac,Bretagne,non,oui,2731,29260.4535869189
Toussaint,Margot,48,162.0,63.6,H,oui,master,Bretagne,non,oui,2948,20191.155888796548
Georges,Capucine,44,170.2,54.5,H,oui,master,Normandie,non,non,4246,13654.277259246848
Gimenez,Joseph,45,166.4,57.6,H,oui,master,Occitanie,non,oui,2027,31779.558688353853
Vidal,Gilbert,55,157.3,79.6,H,oui,master,Auvergne-Rhône-Alpes,non,oui,1585,25677.99406361019
Valette,Édith,51,161.2,53.9,H,oui,master,Normandie,non,oui,2958,35696.55108623712
Lesage,Benjamin,47,156.3,75.9,H,non,aucun,Occitanie,non,oui,925,500.0
Thomas,Margot,71,174.2,57.4,H,oui,master,Occitanie,oui,oui,2023,17404.158516637217
Guyot,Éric,63,167.8,62.4,H,non,master,Occitanie,non,oui,2450,22997.64393702108
Maillet,Juliette,72,160.4,56.2,H,oui,master,Hauts-de-France,oui,oui,1326,26236.87455905528
Schmitt,Danielle,57,158.6,70.7,H,oui,master,Occitanie,non,oui,4658,40000.0
Ollivier,Augustin,40,166.3,75.8,H,non,bac+2,Normandie,non,oui,2808,19737.65600356459
Dias,William,40,168.5,53.5,H,non,master,Bretagne,non,oui,2086,18779.977566994025
Muller,Caroline,59,168.9,63.2,H,oui,doctorat,Occitanie,non,non,976,3621.949127397461
Ribeiro,Thérèse,64,174.1,59.9,F,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,4343,34806.37953076806
Bègue,Margaux,74,174.2,77.0,H,oui,doctorat,Normandie,oui,oui,3499,30606.55423641407
Couturier,Gilles,36,174.9,57.6,F,oui,doctorat,Corse,non,non,1743,500.0
Lesage,Gilbert,68,163.7,65.6,H,non,bac+2,Normandie,non,oui,1636,5921.3916019305225
Gaudin,Odette,64,163.9,55.1,H,oui,doctorat,Occitanie,non,oui,1391,29969.622917092514
Duval,Geneviève,48,172.5,71.1,H,oui,doctorat,Bretagne,non,oui,2789,34408.912651418475
Alexandre,Alix,44,168.1,78.7,H,oui,master,Occitanie,non,oui,1701,26560.081106687736
Maurice,Bernadette,49,155.1,57.4,H,oui,doctorat,Occitanie,non,oui,3623,34196.61341817372
Barre,Alain,46,156.8,65.4,H,oui,master,Occitanie,non,oui,3432,32865.438166804066
Richard,Lucy,42,159.6,55.4,H,oui,bac,Occitanie,non,oui,2121,21236.349309675476
Da Silva,Aimé,46,164.4,78.2,H,oui,master,Occitanie,non,non,2821,5018.74004037447
Guillou,Mathilde,73,158.7,79.3,F,non,bac+2,Occitanie,non,oui,2519,9621.558664138056
Alexandre,Nicole,64,158.4,59.5,H,oui,doctorat,Bretagne,non,oui,2671,39200.38110528731
Fleury,Aurore,37,163.5,59.3,H,oui,doctorat,Occitanie,non,oui,3067,39753.91310396427
Baron,Charles,44,155.0,67.9,F,oui,doctorat,Normandie,non,oui,1656,18588.083650591198
Riou,Nath,73,173.3,58.6,H,non,bac,Occitanie,oui,non,3124,500.0
