nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,montant_pret
Dubois,Thérèse,43,167.7,48.8,H,oui,master,Île-de-France,non,oui,1995,19143.37288698801
Marques,Robert,68,166.6,58.0,F,non,master,Occitanie,oui,oui,2306,19298.08469743161
Marchal,Clémence,31,174.0,98.3,H,oui,bac+2,Île-de-France,oui,oui,2709,28345.395668981593
Godard,Alphonse,50,172.6,68.9,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,500,18194.956379138435
Goncalves,Marguerite,22,169.7,70.9,H,non,aucun,Corse,oui,non,5455,500.0
Petit,Alphonse,44,168.1,74.5,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,2458,500.0
Normand,Julien,26,158.3,87.1,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3402,5662.198060055292
Boucher,Auguste,54,177.9,56.4,H,oui,doctorat,Corse,non,oui,4183,32695.09573793468
Noël,Élise,40,156.0,78.8,H,oui,bac+2,Bretagne,oui,oui,5128,27292.000111491696
Charrier,Augustin,52,160.1,61.5,F,oui,doctorat,Bretagne,oui,non,2619,500.0
Fontaine,Philippine,26,165.0,46.7,F,oui,aucun,Hauts-de-France,non,oui,2582,6235.305317403193
Fleury,Nicole,31,159.4,77.1,F,oui,bac+2,Occitanie,non,non,1396,500.0
Turpin,Luce,72,185.5,58.3,H,oui,master,Bretagne,oui,oui,2113,21149.848620668243
Paris,William,67,178.1,51.5,H,non,bac,Occitanie,non,oui,2772,13405.238733087386
Laporte,Laurent,25,183.1,45.9,H,oui,doctorat,Île-de-France,non,oui,2721,40000.0
Hebert,Danielle,27,172.6,81.7,F,oui,aucun,Bretagne,non,non,1015,500.0
Leduc,Odette,68,156.8,77.8,H,non,bac,Corse,oui,oui,2856,500.0
Lenoir,Madeleine,53,172.5,75.2,F,oui,bac,Hauts-de-France,oui,non,1683,500.0
Antoine,Marthe,19,172.3,74.4,H,non,master,Corse,non,oui,1642,10204.629534115953
Pottier,Lucy,62,188.7,77.1,H,non,aucun,Occitanie,oui,oui,1070,500.0
Leroy,Alphonse,47,176.6,55.4,F,non,bac,Corse,oui,non,3444,500.0
Munoz,Emmanuel,43,181.6,57.7,F,non,aucun,Bretagne,non,non,3656,500.0
Lagarde,Célina,43,174.1,82.3,F,oui,aucun,Bretagne,oui,oui,4776,11122.076818425514
Delorme,Jérôme,34,167.5,58.7,H,oui,doctorat,Normandie,non,non,1432,9414.848967817996
Poulain,Joseph,38,161.8,68.8,F,oui,master,Corse,non,oui,2909,15347.377192068523
Techer,Jérôme,45,172.8,82.4,H,oui,bac+2,Normandie,oui,non,2515,500.0
Ribeiro,Claudine,39,184.5,66.0,F,oui,bac+2,Bretagne,non,oui,5764,35038.060526764675
Duval,Isaac,62,176.3,57.1,F,oui,bac,Normandie,non,non,1214,500.0
Gros,Benjamin,75,174.8,66.6,H,non,master,Île-de-France,non,oui,3356,34320.86585287061
Vaillant,Martin,45,174.7,68.9,F,non,master,Occitanie,oui,oui,1483,908.6608312217185
Clerc,Frédérique,68,154.9,63.3,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3527,500.0
Torres,Renée,66,172.1,51.3,H,non,bac,Corse,oui,oui,2707,500.0
Guillot,Diane,33,173.9,56.7,F,oui,master,Normandie,oui,non,2684,500.0
Gilles,Paul,42,170.6,52.9,F,non,bac,Hauts-de-France,oui,non,2929,500.0
Foucher,Hugues,73,175.6,86.2,H,non,bac,Hauts-de-France,non,oui,3764,7239.70656734361
Roux,Éric,33,156.2,55.9,H,non,bac,Occitanie,non,non,3118,500.0
Thibault,Alexandre,75,175.1,77.7,F,non,doctorat,Occitanie,oui,non,7123,2123.484278536743
Perrin,Thomas,48,175.7,87.0,F,non,bac,Bretagne,non,non,3644,500.0
Benoit,Agathe,35,176.5,65.3,F,oui,bac+2,Corse,non,oui,3410,6803.367693575222
Moulin,Frédérique,75,162.3,66.4,H,oui,bac,Corse,non,non,1917,500.0
Bernard,Nicolas,63,170.8,104.7,H,oui,master,Normandie,non,oui,500,26331.07392602894
Dupuy,Édith,44,176.9,45.8,H,oui,master,Normandie,oui,non,1933,500.0
Pineau,Constance,66,180.9,71.0,F,non,aucun,Auvergne-Rhône-Alpes,non,non,1206,500.0
De Sousa,Suzanne,72,162.8,80.2,F,oui,master,Corse,non,oui,1623,16964.812273068976
Courtois,David,19,172.2,70.7,F,non,master,Hauts-de-France,non,non,1718,500.0
Jacquet,Adrien,57,191.4,79.5,H,non,doctorat,Île-de-France,oui,non,500,500.0
Seguin,Dominique,26,171.9,60.1,F,oui,aucun,Bretagne,non,oui,3522,14091.99000862035
Michel,Émilie,47,162.1,68.3,F,non,master,Bretagne,non,oui,3105,18827.58007419442
Fontaine,François,23,178.7,52.0,F,oui,doctorat,Île-de-France,non,oui,2098,37309.328241623676
Diaz,Margaud,22,165.3,60.2,H,oui,bac,Corse,oui,non,4618,500.0
Leduc,Grégoire,33,174.0,51.1,H,non,aucun,Corse,non,non,3601,500.0
Meunier,Céline,67,191.2,85.5,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,676,500.0
Andre,Théodore,24,165.2,89.0,H,non,doctorat,Normandie,non,non,1650,500.0
Gilbert,Lucy,30,174.4,81.6,H,oui,aucun,Bretagne,oui,non,1387,500.0
Henry,Georges,54,169.4,21.4,H,non,doctorat,Normandie,non,oui,1270,15178.058742582625
Hamon,Adrien,59,167.5,51.3,F,oui,master,Occitanie,oui,oui,4458,32508.605619879785
Guillon,Thomas,41,155.7,63.4,F,oui,master,Hauts-de-France,non,non,2656,500.0
Petitjean,Théodore,52,184.4,48.5,F,non,master,Bretagne,non,non,3895,500.0
Schneider,Guy,71,170.1,55.3,H,non,master,Corse,non,oui,3054,12982.250544958786
Carre,Alix,60,172.0,61.0,F,non,aucun,Occitanie,non,oui,2583,500.0
Garcia,Joséphine,31,166.1,71.7,F,non,bac+2,Bretagne,non,oui,3294,14528.814755761754
Marin,Diane,51,185.9,51.4,H,oui,bac,Normandie,non,oui,5059,25117.478585552373
Hardy,Marc,33,150.5,67.7,F,non,master,Île-de-France,oui,oui,3205,8491.020359745276
Petit,Michel,43,172.8,60.7,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,2250,24073.41039868381
Lambert,Maryse,40,165.1,61.2,F,non,bac+2,Occitanie,non,oui,3519,25320.8155572381
Delorme,Martin,32,173.6,59.6,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3579,25494.275718206845
Perrier,Amélie,65,173.1,82.2,F,non,doctorat,Bretagne,oui,non,3255,500.0
Rémy,Audrey,36,161.7,61.6,H,non,bac,Bretagne,oui,non,3396,500.0
Bouchet,Océane,26,176.1,69.7,F,oui,aucun,Bretagne,oui,non,2640,500.0
Gérard,Zacharie,66,182.8,61.1,F,oui,aucun,Bretagne,non,oui,3156,6266.887242780782
Schmitt,Anaïs,39,168.0,66.7,H,oui,bac+2,Occitanie,oui,non,3818,500.0
Michaud,Claude,43,178.3,82.2,F,oui,doctorat,Île-de-France,oui,oui,4066,27245.381695526576
Jacquet,Stéphanie,54,170.2,80.2,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,2127,500.0
Berthelot,Hugues,68,173.2,68.0,H,non,master,Occitanie,non,non,2616,500.0
Munoz,Christiane,45,176.0,57.7,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,5010,5305.112235969796
Delahaye,Brigitte,34,159.9,51.8,H,oui,bac,Hauts-de-France,oui,oui,3889,11652.544565660271
Guichard,Geneviève,44,177.9,79.4,F,non,bac+2,Île-de-France,oui,oui,3254,10692.47695372608
Richard,Isaac,36,169.9,56.5,F,oui,bac,Bretagne,oui,oui,2590,4245.826024108752
Fernandez,Nathalie,52,163.2,84.6,H,oui,bac+2,Hauts-de-France,oui,oui,2323,500.0
Hamon,Camille,68,161.7,65.2,F,non,master,Provence-Alpes-Côte d’Azur,non,non,2995,500.0
Guyon,Diane,62,164.4,57.7,F,non,doctorat,Occitanie,non,oui,2792,19921.806733437123
Berthelot,Andrée,20,172.4,62.4,F,non,doctorat,Bretagne,oui,oui,1934,11500.602815961403
Ferreira,Christine,61,172.3,48.3,H,non,doctorat,Île-de-France,oui,oui,811,10095.662703447315
Perez,Cécile,59,162.8,66.8,F,non,bac,Normandie,non,non,2873,500.0
Laporte,Guy,48,184.8,82.9,F,non,bac+2,Auvergne-Rhône-Alpes,oui,non,2308,500.0
Léger,Brigitte,39,169.8,55.0,F,non,bac+2,Normandie,oui,oui,2477,500.0
Traore,Thibault,38,167.1,74.8,F,non,aucun,Normandie,oui,non,1507,500.0
Langlois,Suzanne,52,175.2,93.0,F,non,aucun,Corse,non,non,2369,500.0
Tanguy,Amélie,49,174.0,80.4,F,oui,bac,Bretagne,oui,non,2018,500.0
Marie,Patrick,46,172.2,70.2,F,oui,aucun,Corse,oui,oui,2617,500.0
Rousset,Agathe,18,162.3,70.4,F,oui,bac,Provence-Alpes-Côte d’Azur,non,non,3097,500.0
Pascal,Maggie,59,184.5,84.4,H,non,bac+2,Bretagne,non,non,5083,9865.92133337715
Renault,Grégoire,48,162.3,83.1,H,non,doctorat,Hauts-de-France,non,oui,2720,25409.251333464494
Bonneau,André,56,191.9,57.9,H,oui,bac+2,Normandie,non,non,1492,500.0
Poirier,Manon,50,164.0,38.1,F,oui,bac+2,Bretagne,non,non,1869,500.0
Ribeiro,Anouk,46,162.4,72.3,F,non,bac+2,Normandie,non,non,2910,500.0
Garnier,Margaux,73,188.8,84.3,H,oui,doctorat,Normandie,oui,non,1807,500.0
Gautier,Marie,44,161.0,77.4,H,non,master,Normandie,non,non,915,500.0
Pasquier,Véronique,68,188.3,87.7,H,non,aucun,Hauts-de-France,non,non,1936,500.0
Philippe,Guillaume,73,152.9,90.3,F,oui,doctorat,Occitanie,oui,non,2362,500.0
Schneider,Julie,44,182.4,46.1,H,oui,master,Bretagne,non,non,1780,9188.036087840172
Mace,Astrid,43,170.1,70.7,H,non,doctorat,Normandie,non,non,1959,500.0
Dias,Philippine,74,176.2,54.0,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,2329,500.0
Legrand,Isabelle,36,171.2,77.7,H,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,3353,21928.093836654123
Marques,Geneviève,62,158.8,47.0,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,4033,5340.008183936034
Leclercq,Cécile,41,173.3,58.8,F,oui,bac,Normandie,oui,oui,4361,11690.817767411898
Delattre,Laurence,23,171.2,87.7,F,oui,master,Hauts-de-France,oui,oui,2581,12034.497407786908
Ledoux,Frédérique,34,190.6,96.3,F,non,aucun,Occitanie,non,non,2201,500.0
Berger,Maryse,28,179.7,79.7,H,non,bac+2,Bretagne,non,non,4142,7069.964461393649
Peron,Joséphine,47,160.4,80.3,F,oui,master,Occitanie,oui,oui,3770,11955.14414092294
Bertrand,Anaïs,54,152.4,52.3,F,non,bac+2,Île-de-France,non,oui,500,4627.7372619485195
Julien,Christophe,54,167.3,80.8,H,non,bac+2,Corse,non,oui,4302,15855.863205371263
Weiss,Gilles,30,170.7,94.4,F,oui,aucun,Île-de-France,non,non,843,500.0
Roche,Patricia,20,153.0,69.2,F,oui,aucun,Bretagne,non,non,2960,6228.841206446809
Maillet,Michèle,29,169.7,39.0,H,oui,doctorat,Auvergne-Rhône-Alpes,non,non,2393,13650.598095850677
Vallet,Benjamin,34,157.0,80.0,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,2939,500.0
Delannoy,Timothée,27,160.6,62.3,H,non,doctorat,Auvergne-Rhône-Alpes,oui,non,1228,500.0
Chrétien,Emmanuelle,18,169.4,84.3,F,oui,master,Auvergne-Rhône-Alpes,non,oui,1317,19367.18858403478
Delaunay,Capucine,70,175.0,62.0,F,oui,bac,Occitanie,oui,non,1548,500.0
Guilbert,Georges,53,168.9,54.5,F,oui,aucun,Occitanie,non,non,1835,500.0
Roy,Maurice,25,158.0,99.5,H,oui,aucun,Bretagne,non,oui,2542,15384.504276532434
Lombard,Michèle,33,163.0,73.2,H,non,master,Auvergne-Rhône-Alpes,non,oui,2365,22094.238767400493
Carre,Christine,64,167.8,79.2,H,non,aucun,Occitanie,non,non,3409,500.0
Delahaye,Zoé,35,164.7,61.4,H,non,bac,Occitanie,non,non,2169,500.0
Marchand,Capucine,72,147.0,47.3,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,4140,19320.169899674387
Lévy,Josette,30,186.4,66.3,H,non,aucun,Corse,oui,oui,3191,500.0
Giraud,Margot,39,173.1,116.2,H,oui,doctorat,Corse,oui,non,3843,500.0
Colin,Christiane,53,168.7,55.7,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,572,500.0
Barthelemy,Jeanne,56,172.0,58.7,H,non,bac,Hauts-de-France,non,non,793,500.0
Gosselin,Édith,25,163.5,53.8,H,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,4524,18268.129264048337
Bonnet,Raymond,19,178.8,69.9,H,non,aucun,Hauts-de-France,non,oui,4275,16712.11477642911
Parent,Rémy,65,170.8,57.1,H,non,master,Auvergne-Rhône-Alpes,oui,oui,4327,21574.92136239511
Lemonnier,Charles,32,175.4,54.4,H,non,master,Île-de-France,oui,non,2271,500.0
Bernier,Renée,72,161.2,49.3,F,non,aucun,Occitanie,non,oui,3611,2540.1221683741005
Lesage,Claire,23,189.1,49.0,F,oui,aucun,Hauts-de-France,non,non,3175,500.0
Couturier,Astrid,55,163.5,62.7,F,non,doctorat,Bretagne,non,oui,1789,28803.671219852626
Courtois,Pierre,45,161.4,70.7,H,oui,doctorat,Corse,non,oui,1502,18060.882942565546
Voisin,Nathalie,32,172.7,69.2,F,non,master,Normandie,non,non,2213,500.0
Chevalier,Élisabeth,38,160.9,61.3,F,non,bac+2,Auvergne-Rhône-Alpes,oui,non,3406,500.0
Bernier,Suzanne,48,175.0,55.3,H,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2619,16842.688981380004
Morvan,Denis,65,177.5,45.0,F,oui,doctorat,Île-de-France,non,non,3152,15853.738605352104
Rossi,Paulette,44,163.4,78.6,F,non,aucun,Bretagne,non,oui,1584,500.0
Torres,Clémence,54,152.0,45.6,H,oui,master,Corse,oui,oui,2557,18820.19807801357
Lamy,Guillaume,53,172.6,56.4,F,oui,bac+2,Corse,non,non,3266,500.0
Joseph,Élise,67,153.4,69.0,H,non,aucun,Hauts-de-France,non,non,1046,500.0
Alexandre,Émilie,37,163.5,70.7,F,non,aucun,Hauts-de-France,oui,oui,1467,500.0
Traore,Anaïs,43,166.2,85.1,H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1807,500.0
Martin,Arthur,47,178.4,53.1,F,oui,bac+2,Bretagne,non,non,3135,1229.375781744337
Bouvet,Stéphanie,54,184.4,32.9,H,oui,bac,Hauts-de-France,oui,non,1543,500.0
Barre,Julie,35,175.8,67.0,F,non,master,Occitanie,non,oui,2945,12731.953160484845
Michaud,Lucie,66,164.0,71.3,H,non,master,Provence-Alpes-Côte d’Azur,non,non,2313,500.0
Berthelot,Lucy,55,181.7,73.8,F,non,aucun,Corse,non,non,2905,500.0
Lejeune,Paulette,21,165.9,62.7,H,oui,bac+2,Corse,oui,non,1980,500.0
Deschamps,Madeleine,36,173.9,63.7,F,oui,aucun,Occitanie,non,oui,2847,13312.767465432222
Hernandez,Clémence,42,190.8,83.1,H,non,aucun,Normandie,oui,oui,2108,500.0
Girard,Nicole,47,182.0,63.9,H,non,doctorat,Normandie,non,non,500,500.0
Fernandes,Lorraine,44,159.9,41.9,F,oui,master,Île-de-France,non,oui,2078,28175.929338110716
Berger,Timothée,57,170.2,95.1,F,non,aucun,Normandie,oui,oui,2892,500.0
Boulay,Gilles,55,167.8,82.4,F,oui,master,Bretagne,non,oui,500,12395.530073882783
Gaillard,Sylvie,67,172.4,81.6,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,725,500.0
Samson,Thibaut,40,181.4,75.1,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,2001,4700.733568169628
Gros,Christine,29,176.3,104.1,H,oui,bac,Occitanie,non,non,2718,500.0
Breton,Olivie,66,172.5,63.1,F,non,bac+2,Hauts-de-France,non,oui,1480,7206.521118873736
Guibert,Odette,46,178.3,57.2,F,non,doctorat,Île-de-France,non,oui,2585,30865.665078794744
Lévêque,Timothée,37,165.2,77.2,F,non,aucun,Île-de-France,non,non,2900,500.0
Morin,Cécile,22,180.4,62.3,H,non,master,Île-de-France,non,non,2176,500.0
Maillot,Chantal,54,160.2,63.3,H,non,doctorat,Occitanie,oui,non,2952,500.0
Cohen,Gabrielle,46,177.6,56.2,H,non,aucun,Hauts-de-France,oui,oui,3543,500.0
Dubois,Nathalie,46,183.6,76.2,F,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,4752,18565.342687611574
Masson,Marguerite,67,162.3,51.3,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,500,10328.309067086688
Lebon,Guillaume,61,185.0,79.8,F,non,bac+2,Hauts-de-France,non,oui,2433,3776.7281130305196
Delahaye,Émile,60,172.8,53.1,H,non,bac+2,Normandie,oui,oui,5434,17327.75100561718
Poulain,Margaud,23,171.3,71.6,F,non,bac+2,Hauts-de-France,oui,non,3370,500.0
Colin,Thibaut,45,174.8,73.4,F,oui,bac+2,Bretagne,oui,non,1551,500.0
Gonzalez,Corinne,39,174.7,98.2,F,oui,bac,Hauts-de-France,oui,oui,4114,5403.32529823504
Lefort,Célina,72,185.9,62.3,H,oui,bac+2,Hauts-de-France,non,oui,1312,14452.252642311361
Jourdan,Laurence,29,168.7,70.8,H,non,aucun,Normandie,non,non,3813,500.0
Delannoy,Aimé,33,153.1,92.9,F,non,master,Corse,oui,oui,2310,500.0
Leclerc,Alexandria,69,165.7,54.8,F,oui,bac+2,Occitanie,non,non,514,500.0
Dumas,Sylvie,67,178.2,71.1,F,non,bac,Corse,oui,non,952,500.0
Faure,Louis,21,157.0,65.0,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,4502,25863.51314295684
Pinto,Suzanne,66,167.4,47.5,H,non,master,Hauts-de-France,non,oui,2205,12466.910249373306
Imbert,Alphonse,32,167.3,29.5,F,non,aucun,Normandie,oui,oui,2434,500.0
Gérard,Julien,41,167.7,80.4,H,non,aucun,Auvergne-Rhône-Alpes,oui,oui,4718,6298.992762789755
Diaz,Susanne,24,181.3,66.0,F,oui,bac,Île-de-France,non,non,1172,500.0
Colas,Gilles,48,195.7,70.9,H,non,master,Île-de-France,oui,oui,2516,14353.364130841986
Rousseau,Inès,31,169.8,73.0,H,non,aucun,Bretagne,oui,oui,2326,500.0
Giraud,Luce,21,164.3,61.8,H,non,doctorat,Occitanie,oui,oui,2460,18350.989124561755
Menard,Tristan,75,164.6,59.3,F,oui,doctorat,Corse,oui,oui,2627,11750.725525594933
Bertin,Laure,18,167.5,92.6,F,oui,doctorat,Normandie,oui,non,500,500.0
Boyer,Nicolas,23,180.9,88.7,F,oui,doctorat,Île-de-France,non,non,500,500.0
Simon,Audrey,20,166.6,64.4,F,non,bac+2,Île-de-France,non,non,810,500.0
Goncalves,René,40,162.2,53.3,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,4602,32351.702710652367
Lefèvre,Jeanne,52,179.4,89.1,F,oui,master,Occitanie,oui,non,3366,500.0
Paris,Monique,22,158.7,62.1,F,oui,bac+2,Corse,oui,non,3087,500.0
Bouvet,Sophie,74,157.8,80.7,H,non,bac+2,Normandie,non,oui,2211,14765.086147650465
Moreno,Claire,66,166.3,80.7,H,non,bac+2,Île-de-France,non,oui,3033,27681.75693665989
Guillaume,Julien,69,166.4,87.4,F,non,master,Occitanie,non,oui,1202,10148.657466871051
Chevallier,Honoré,29,176.2,78.9,F,non,bac+2,Bretagne,oui,non,2128,500.0
Letellier,Chantal,23,173.3,51.2,F,oui,doctorat,Bretagne,non,oui,3608,31164.58734555678
Arnaud,Aimée,38,168.2,62.2,F,non,master,Normandie,oui,non,3758,500.0
Lefort,Gilbert,40,163.0,48.9,F,oui,bac+2,Normandie,non,non,632,500.0
Riou,Capucine,68,176.1,50.8,H,oui,master,Auvergne-Rhône-Alpes,oui,non,4605,1968.8901684718303
Le Roux,Joseph,27,149.2,95.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,2753,500.0
Costa,Michèle,41,169.0,61.8,F,non,doctorat,Île-de-France,oui,non,2978,500.0
Poulain,Théophile,41,169.6,86.5,F,non,aucun,Hauts-de-France,non,oui,2637,500.0
Royer,Yves,59,171.5,64.5,F,oui,aucun,Île-de-France,oui,oui,2431,6462.367711224997
Leclerc,Stéphane,42,173.1,44.3,H,non,bac+2,Occitanie,oui,non,882,500.0
Auger,Margot,36,177.4,72.6,F,oui,aucun,Hauts-de-France,oui,oui,2279,500.0
Benard,Victor,75,170.2,75.2,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,1852,510.4860354329832
Bouvet,Marthe,36,162.2,72.9,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,1325,500.0
Noël,Matthieu,30,174.1,44.5,H,oui,master,Île-de-France,non,oui,3734,39000.172260680694
Hervé,Émile,41,174.7,73.8,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3679,33597.31993936777
Besnard,Dorothée,63,186.7,85.2,F,non,master,Provence-Alpes-Côte d’Azur,oui,non,500,500.0
Fournier,Christiane,59,157.2,60.6,H,non,master,Auvergne-Rhône-Alpes,oui,non,2531,500.0
Lejeune,Suzanne,67,175.2,59.1,H,oui,master,Île-de-France,oui,oui,2724,25798.348052664485
Boyer,Aimée,37,162.4,60.8,H,oui,bac+2,Corse,non,non,812,500.0
Paul,Philippe,51,160.8,49.7,F,oui,bac+2,Corse,non,oui,1328,2592.0829331365817
Joseph,Simone,37,180.5,55.8,H,oui,doctorat,Hauts-de-France,oui,non,5658,9768.88022735399
Guyot,Christine,64,174.9,72.8,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,non,1469,500.0
Lecomte,Caroline,67,177.0,61.4,F,oui,doctorat,Normandie,oui,oui,2646,21049.270251415102
Joseph,Margot,58,195.6,68.6,F,non,master,Corse,non,oui,3879,11073.464664405737
Letellier,Zacharie,22,163.0,69.5,H,oui,master,Normandie,non,oui,4624,40000.0
Petit,Bernadette,39,163.7,97.2,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,3349,27201.46728616042
Dufour,Richard,41,164.4,79.5,H,non,bac,Occitanie,oui,oui,3667,500.0
Chrétien,Christelle,33,176.2,46.4,H,oui,aucun,Bretagne,non,non,1627,500.0
Dumont,Frédéric,44,167.5,68.9,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3244,500.0
Lecomte,Monique,49,171.8,50.0,F,non,bac+2,Occitanie,oui,oui,2956,500.0
Chauvin,Marcel,43,176.1,78.4,F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,3796,6521.333618952948
Nguyen,Aimée,49,178.3,76.9,F,non,doctorat,Île-de-France,oui,oui,2415,29366.279226326704
Renaud,Henriette,74,153.4,76.4,F,non,master,Auvergne-Rhône-Alpes,oui,oui,2749,13043.549481062202
Arnaud,Noël,54,172.7,50.8,H,non,doctorat,Bretagne,oui,oui,1202,24394.43984302877
Guillou,Richard,46,180.5,69.4,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,3317,24913.49220009168
Schmitt,Édith,39,170.3,70.4,F,oui,bac,Normandie,oui,oui,3625,3290.7841949576245
Leclerc,Marc,26,164.8,71.4,F,non,doctorat,Occitanie,oui,non,1945,500.0
Thomas,Vincent,50,165.7,65.4,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,2766,23006.180901201533
Simon,Aimée,57,165.2,88.8,F,non,doctorat,Occitanie,non,oui,1426,19391.53101736518
Lamy,Andrée,19,168.1,63.4,F,non,aucun,Normandie,non,non,4236,500.0
Labbé,Bernadette,64,172.0,85.5,H,non,bac+2,Corse,oui,oui,717,500.0
Jourdan,Maryse,28,172.7,83.3,F,oui,bac,Île-de-France,oui,oui,2598,26830.805936943696
